,theta,theta_std
20250522_sweagent_claude-4-sonnet-20250514,1.3911683559417725,0.1966955
20250514_aime_coder,1.343098521232605,0.13644587
20250415_openhands,1.3419626951217651,0.15125746
20250716_openhands_kimi_k2,1.2545864582061768,0.11891905
20250405_amazon-q-developer-agent-20250405-dev,1.2285531759262085,0.15318137
20250316_augment_agent_v0,1.2267541885375977,0.1439963
20250503_patchpilot-v1.1-o4-mini,1.207590937614441,0.114626125
20250117_wandb_programmer_o1_crosscheck5,1.166094422340393,0.15148622
20250728_zai_glm4-5,1.0945066213607788,0.1235427
20250206_agentscope,1.0771551132202148,0.14415687
20250228_epam-ai-run-claude-3-5-sonnet,1.0161964893341064,0.13653977
20250225_sweagent_claude-3-7-sonnet,0.977078378200531,0.1027138
20250110_blackboxai_agent_v1.1,0.9131306409835815,0.13072036
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.9009353518486023,0.1509737
20250224_tools_claude-3-7-sonnet,0.8905511498451233,0.13520357
20250203_openhands_4x_scaled,0.7786640524864197,0.12611172
20250110_learn_by_interact_claude3.5,0.720257043838501,0.143246
20250901_entroPO_R2E_QwenCoder30BA3B_tts,0.6560384631156921,0.15637392
20250410_cortexa,0.582867443561554,0.13449901
20250629_deepswerl_r2eagent_tts,0.5725657343864441,0.15596649
20241223_emergent,0.48712265491485596,0.10890719
20250405_swe-rizzo_claude37,0.43815135955810547,0.13290834
20250924_artemis_agent_v2,0.43408435583114624,0.14035451
20241208_gru,0.4162268340587616,0.13481066
20241213_devlo,0.39121636748313904,0.12540394
20241212_epam-ai-run-claude-3-5-sonnet,0.29934585094451904,0.11668183
20241202_amazon-q-developer-agent-20241202-dev,0.23589903116226196,0.1742335
20251110_frogboss-32b,0.11020239442586899,0.16172697
20250120_Bracket,0.039357297122478485,0.116224326
20250804_codesweep_sweagent_kimi_k2_instruct,0.02797909826040268,0.14937931
20241108_devlo,0.01648109219968319,0.14382201
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,0.01596243306994438,0.13701333
20250901_entroPO_R2E_QwenCoder30BA3B,0.002193845110014081,0.13417393
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,-0.05633575841784477,0.17025577
20241212_google_jules_gemini_2.0_flash_experimental,-0.11856932193040848,0.14911373
20241202_agentless-1.5_claude-3.5-sonnet-20241022,-0.13520817458629608,0.11730438
20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,-0.15179593861103058,0.12471259
20241125_enginelabs,-0.18043440580368042,0.14191705
20241105_nfactorial,-0.24148452281951904,0.117632784
20241028_solver,-0.2507172226905823,0.11590463
20241125_marscode-agent-dev,-0.2633380889892578,0.1347009
20241022_tools_claude-3-5-sonnet-updated,-0.3347099721431732,0.14054953
20241025_composio_swekit,-0.3354979157447815,0.110761054
20241106_navie-2-gpt4o-sonnet,-0.43323537707328796,0.1108073
20241023_emergent,-0.5121806263923645,0.14514071
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,-0.5659921765327454,0.09345422
20250616_Skywork-SWE-32B+TTS_Bo8,-0.5809836983680725,0.14525935
20250520_openhands_devstral_small,-0.5975214242935181,0.1297123
20250528_patchpilot_Co-PatcheR,-0.6093172430992126,0.15906002
20240824_gru,-0.6214901208877563,0.13678814
20251110_frogmini-14b,-0.6348270177841187,0.1359021
20240924_solver,-0.6768897771835327,0.1359198
20250118_codeshellagent_gemini_2.0_flash_experimental,-0.741429328918457,0.10163751
20250214_agentless_lite_o3_mini,-0.7899033427238464,0.17890057
20240920_solver,-0.8037400245666504,0.148464
20250806_SWE-Exp_DeepSeek-V3,-0.8797657489776611,0.11294538
20250527_amazon.nova-premier-v1.0,-0.9096613526344299,0.13095206
20250112_ugaiforge,-0.9334569573402405,0.12979184
20250629_deepswerl_r2eagent,-0.9388051629066467,0.10565293
20241030_nfactorial,-0.9649035334587097,0.13068207
20250226_swerl_llama3_70b,-0.985223650932312,0.120805055
20241016_composio_swekit,-1.0303552150726318,0.13808227
20241022_tools_claude-3-5-haiku,-1.055460810661316,0.13983609
20241113_nebius-search-open-weight-models-11-24,-1.06557297706604,0.11577813
20241029_epam-ai-run-claude-3-5-sonnet,-1.1011537313461304,0.12161323
20250511_sweagent_lm_32b,-1.1172715425491333,0.12698306
20240820_honeycomb,-1.150119423866272,0.1329997
20240721_amazon-q-developer-agent-20240719-dev,-1.190942645072937,0.11703017
20241028_agentless-1.5_gpt4o,-1.2250014543533325,0.14001001
20240628_autocoderover-v20240620,-1.275394082069397,0.1378743
20250725_sweagent_devstral_small_2507,-1.3079344034194946,0.1566585
20250616_Skywork-SWE-32B,-1.315960168838501,0.13571002
20240617_factory_code_droid,-1.4074435234069824,0.11436625
20240612_MASAI_gpt4o,-1.722048282623291,0.13069546
20240620_sweagent_claude3.5sonnet,-1.72286057472229,0.12030178
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,-1.74318528175354,0.14756916
20241120_artemis_agent,-1.867153525352478,0.12793131
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,-1.9626630544662476,0.13006651
20241007_nfactorial,-1.977396845817566,0.14446057
20241002_lingma-agent_lingma-swe-gpt-72b,-2.1313421726226807,0.13545507
20241016_epam-ai-run-gpt-4o,-2.2734365463256836,0.14891568
20240615_appmap-navie_gpt4o,-2.4211313724517822,0.1673828
20240509_amazon-q-developer-agent-20240430-dev,-2.4338865280151367,0.15306325
20241001_nfactorial,-2.4526748657226562,0.14763421
20240820_epam-ai-run-gpt-4o,-2.501099109649658,0.13554136
20240918_lingma-agent_lingma-swe-gpt-72b,-2.501584053039551,0.14596614
20250627_agentless_MCTS-Refine-7B,-2.720484972000122,0.14237046
20240728_sweagent_gpt4o,-2.729931592941284,0.12323393
20240402_sweagent_gpt4,-2.7380194664001465,0.13619871
20241002_lingma-agent_lingma-swe-gpt-7b,-3.211259603500366,0.12812617
20240402_sweagent_claude3opus,-3.489508628845215,0.18463075
20240918_lingma-agent_lingma-swe-gpt-7b,-4.284012317657471,0.14734358
20240402_rag_claude3opus,-4.911226749420166,0.18725333
20231010_rag_claude2,-5.579121112823486,0.2279432
20240402_rag_gpt4,-6.076852321624756,0.2567488
20231010_rag_swellama13b,-7.027614116668701,0.41591462
20231010_rag_swellama7b,-7.049923896789551,0.34443393
20231010_rag_gpt35,-8.296553611755371,0.8168901
